pattern_value,pattern_bits,count,expected,ratio
0,00000000000000,8193115,610.35,13423.617067
1,10000000000000,130,610.35,0.212992
2,01000000000000,121,610.35,0.198247
3,11000000000000,120,610.35,0.196608
4,00100000000000,112,610.35,0.183501
5,10100000000000,103,610.35,0.168755
6,01100000000000,101,610.35,0.165479
7,11100000000000,104,610.35,0.170394
8,00010000000000,114,610.35,0.186778
9,10010000000000,118,610.35,0.193331
10,01010000000000,97,610.35,0.158925
11,11010000000000,114,610.35,0.186778
12,00110000000000,100,610.35,0.163840
13,10110000000000,87,610.35,0.142541
14,01110000000000,108,610.35,0.176947
15,11110000000000,99,610.35,0.162202
16,00001000000000,111,610.35,0.181863
17,10001000000000,118,610.35,0.193331
18,01001000000000,120,610.35,0.196608
19,11001000000000,133,610.35,0.217907
20,00101000000000,102,610.35,0.167117
21,10101000000000,114,610.35,0.186778
22,01101000000000,110,610.35,0.180224
23,11101000000000,114,610.35,0.186778
24,00011000000000,96,610.35,0.157287
25,10011000000000,110,610.35,0.180224
26,01011000000000,104,610.35,0.170394
27,11011000000000,104,610.35,0.170394
28,00111000000000,111,610.35,0.181863
29,10111000000000,108,610.35,0.176947
30,01111000000000,111,610.35,0.181863
31,11111000000000,106,610.35,0.173671
32,00000100000000,131,610.35,0.214631
33,10000100000000,91,610.35,0.149095
34,01000100000000,117,610.35,0.191693
35,11000100000000,104,610.35,0.170394
36,00100100000000,111,610.35,0.181863
37,10100100000000,110,610.35,0.180224
38,01100100000000,122,610.35,0.199885
39,11100100000000,107,610.35,0.175309
40,00010100000000,108,610.35,0.176947
41,10010100000000,97,610.35,0.158925
42,01010100000000,129,610.35,0.211354
43,11010100000000,104,610.35,0.170394
44,00110100000000,101,610.35,0.165479
45,10110100000000,109,610.35,0.178586
46,01110100000000,104,610.35,0.170394
47,11110100000000,121,610.35,0.198247
48,00001100000000,98,610.35,0.160563
49,10001100000000,112,610.35,0.183501
50,01001100000000,97,610.35,0.158925
51,11001100000000,114,610.35,0.186778
52,00101100000000,111,610.35,0.181863
53,10101100000000,112,610.35,0.183501
54,01101100000000,112,610.35,0.183501
55,11101100000000,111,610.35,0.181863
56,00011100000000,119,610.35,0.194970
57,10011100000000,117,610.35,0.191693
58,01011100000000,114,610.35,0.186778
59,11011100000000,105,610.35,0.172032
60,00111100000000,113,610.35,0.185139
61,10111100000000,114,610.35,0.186778
62,01111100000000,108,610.35,0.176947
63,11111100000000,107,610.35,0.175309
64,00000010000000,123,610.35,0.201523
65,10000010000000,118,610.35,0.193331
66,01000010000000,98,610.35,0.160563
67,11000010000000,110,610.35,0.180224
68,00100010000000,110,610.35,0.180224
69,10100010000000,118,610.35,0.193331
70,01100010000000,114,610.35,0.186778
71,11100010000000,84,610.35,0.137626
72,00010010000000,113,610.35,0.185139
73,10010010000000,115,610.35,0.188416
74,01010010000000,100,610.35,0.163840
75,11010010000000,124,610.35,0.203162
76,00110010000000,132,610.35,0.216269
77,10110010000000,105,610.35,0.172032
78,01110010000000,119,610.35,0.194970
79,11110010000000,110,610.35,0.180224
80,00001010000000,125,610.35,0.204800
81,10001010000000,93,610.35,0.152371
82,01001010000000,103,610.35,0.168755
83,11001010000000,105,610.35,0.172032
84,00101010000000,117,610.35,0.191693
85,10101010000000,122,610.35,0.199885
86,01101010000000,96,610.35,0.157287
87,11101010000000,115,610.35,0.188416
88,00011010000000,98,610.35,0.160563
89,10011010000000,115,610.35,0.188416
90,01011010000000,106,610.35,0.173671
91,11011010000000,105,610.35,0.172032
92,00111010000000,117,610.35,0.191693
93,10111010000000,116,610.35,0.190055
94,01111010000000,117,610.35,0.191693
95,11111010000000,124,610.35,0.203162
96,00000110000000,104,610.35,0.170394
97,10000110000000,104,610.35,0.170394
98,01000110000000,115,610.35,0.188416
99,11000110000000,119,610.35,0.194970
100,00100110000000,98,610.35,0.160563
101,10100110000000,114,610.35,0.186778
102,01100110000000,116,610.35,0.190055
103,11100110000000,125,610.35,0.204800
104,00010110000000,104,610.35,0.170394
105,10010110000000,113,610.35,0.185139
106,01010110000000,108,610.35,0.176947
107,11010110000000,110,610.35,0.180224
108,00110110000000,116,610.35,0.190055
109,10110110000000,112,610.35,0.183501
110,01110110000000,123,610.35,0.201523
