pattern_value,pattern_bits,count,expected,ratio
0,0000000000,9596,9765.62,0.982631
1,1000000000,9893,9765.62,1.013044
2,0100000000,9801,9765.62,1.003623
3,1100000000,9853,9765.62,1.008948
4,0010000000,9817,9765.62,1.005262
5,1010000000,9783,9765.62,1.001780
6,0110000000,9764,9765.62,0.999834
7,1110000000,9709,9765.62,0.994202
8,0001000000,9844,9765.62,1.008027
9,1001000000,9757,9765.62,0.999118
10,0101000000,9687,9765.62,0.991950
11,1101000000,9702,9765.62,0.993486
12,0011000000,9837,9765.62,1.007310
13,1011000000,9733,9765.62,0.996660
14,0111000000,9673,9765.62,0.990516
15,1111000000,9749,9765.62,0.998298
16,0000100000,9802,9765.62,1.003726
17,1000100000,9738,9765.62,0.997172
18,0100100000,9796,9765.62,1.003111
19,1100100000,9915,9765.62,1.015297
20,0010100000,9466,9765.62,0.969319
21,1010100000,9766,9765.62,1.000039
22,0110100000,9660,9765.62,0.989185
23,1110100000,9795,9765.62,1.003009
24,0001100000,9817,9765.62,1.005262
25,1001100000,9730,9765.62,0.996353
26,0101100000,9793,9765.62,1.002804
27,1101100000,9768,9765.62,1.000244
28,0011100000,9776,9765.62,1.001063
29,1011100000,9588,9765.62,0.981812
30,0111100000,9724,9765.62,0.995738
31,1111100000,9734,9765.62,0.996762
32,0000010000,9802,9765.62,1.003726
33,1000010000,9802,9765.62,1.003726
34,0100010000,9749,9765.62,0.998298
35,1100010000,9707,9765.62,0.993998
36,0010010000,9773,9765.62,1.000756
37,1010010000,9804,9765.62,1.003931
38,0110010000,9830,9765.62,1.006593
39,1110010000,9864,9765.62,1.010075
40,0001010000,9490,9765.62,0.971777
41,1001010000,9588,9765.62,0.981812
42,0101010000,9747,9765.62,0.998094
43,1101010000,9847,9765.62,1.008334
44,0011010000,9780,9765.62,1.001473
45,1011010000,9569,9765.62,0.979866
46,0111010000,9743,9765.62,0.997684
47,1111010000,9736,9765.62,0.996967
48,0000110000,9718,9765.62,0.995124
49,1000110000,9857,9765.62,1.009358
50,0100110000,9805,9765.62,1.004033
51,1100110000,9573,9765.62,0.980276
52,0010110000,9816,9765.62,1.005159
53,1010110000,9677,9765.62,0.990926
54,0110110000,9747,9765.62,0.998094
55,1110110000,9719,9765.62,0.995226
56,0001110000,9787,9765.62,1.002190
57,1001110000,9763,9765.62,0.999732
58,0101110000,9705,9765.62,0.993793
59,1101110000,9661,9765.62,0.989287
60,0011110000,10054,9765.62,1.029531
61,1011110000,9677,9765.62,0.990926
62,0111110000,9749,9765.62,0.998298
63,1111110000,9777,9765.62,1.001166
64,0000001000,9776,9765.62,1.001063
65,1000001000,9669,9765.62,0.990106
66,0100001000,9803,9765.62,1.003828
67,1100001000,9750,9765.62,0.998401
68,0010001000,9638,9765.62,0.986932
69,1010001000,9767,9765.62,1.000142
70,0110001000,9641,9765.62,0.987239
71,1110001000,9758,9765.62,0.999220
72,0001001000,9771,9765.62,1.000551
73,1001001000,9653,9765.62,0.988468
74,0101001000,9862,9765.62,1.009870
75,1101001000,9634,9765.62,0.986522
76,0011001000,9871,9765.62,1.010791
77,1011001000,9865,9765.62,1.010177
78,0111001000,9881,9765.62,1.011815
79,1111001000,9765,9765.62,0.999937
