pattern_value,pattern_bits,count,expected,ratio
0,000000000,19489,19531.23,0.997838
1,100000000,19654,19531.23,1.006286
2,010000000,19600,19531.23,1.003521
3,110000000,19473,19531.23,0.997018
4,001000000,19601,19531.23,1.003572
5,101000000,19389,19531.23,0.992718
6,011000000,19570,19531.23,1.001985
7,111000000,19422,19531.23,0.994407
8,000100000,19540,19531.23,1.000449
9,100100000,19711,19531.23,1.009204
10,010100000,19232,19531.23,0.984679
11,110100000,19455,19531.23,0.996097
12,001100000,19547,19531.23,1.000807
13,101100000,19561,19531.23,1.001524
14,011100000,19364,19531.23,0.991438
15,111100000,19458,19531.23,0.996250
16,000010000,19604,19531.23,1.003726
17,100010000,19456,19531.23,0.996148
18,010010000,19577,19531.23,1.002343
19,110010000,19694,19531.23,1.008334
20,001010000,19078,19531.23,0.976794
21,101010000,19594,19531.23,1.003214
22,011010000,19349,19531.23,0.990670
23,111010000,19479,19531.23,0.997326
24,000110000,19575,19531.23,1.002241
25,100110000,19378,19531.23,0.992154
26,010110000,19493,19531.23,0.998042
27,110110000,19466,19531.23,0.996660
28,001110000,19550,19531.23,1.000961
29,101110000,19366,19531.23,0.991540
30,011110000,19731,19531.23,1.010228
31,111110000,19526,19531.23,0.999732
32,000001000,19445,19531.23,0.995585
33,100001000,19553,19531.23,1.001114
34,010001000,19405,19531.23,0.993537
35,110001000,19399,19531.23,0.993230
36,001001000,19424,19531.23,0.994510
37,101001000,19496,19531.23,0.998196
38,011001000,19736,19531.23,1.010484
39,111001000,19646,19531.23,1.005876
40,000101000,19240,19531.23,0.985089
41,100101000,19349,19531.23,0.990670
42,010101000,19462,19531.23,0.996455
43,110101000,19751,19531.23,1.011252
44,001101000,19536,19531.23,1.000244
45,101101000,19293,19531.23,0.987802
46,011101000,19413,19531.23,0.993946
47,111101000,19515,19531.23,0.999169
48,000011000,19546,19531.23,1.000756
49,100011000,19629,19531.23,1.005006
50,010011000,19473,19531.23,0.997018
51,110011000,19247,19531.23,0.985447
52,001011000,19515,19531.23,0.999169
53,101011000,19578,19531.23,1.002394
54,011011000,19760,19531.23,1.011713
55,111011000,19361,19531.23,0.991284
56,000111000,19577,19531.23,1.002343
57,100111000,19663,19531.23,1.006746
58,010111000,19413,19531.23,0.993946
59,110111000,19516,19531.23,0.999220
60,001111000,19953,19531.23,1.021594
61,101111000,19647,19531.23,1.005927
62,011111000,19596,19531.23,1.003316
63,111111000,19420,19531.23,0.994305
64,000000100,19459,19531.23,0.996302
65,100000100,19489,19531.23,0.997838
66,010000100,19567,19531.23,1.001831
67,110000100,19521,19531.23,0.999476
68,001000100,19400,19531.23,0.993281
69,101000100,19600,19531.23,1.003521
70,011000100,19414,19531.23,0.993998
71,111000100,19440,19531.23,0.995329
72,000100100,19372,19531.23,0.991847
73,100100100,19314,19531.23,0.988878
74,010100100,19533,19531.23,1.000090
75,110100100,19404,19531.23,0.993486
76,001100100,19551,19531.23,1.001012
77,101100100,19744,19531.23,1.010894
78,011100100,19519,19531.23,0.999374
79,111100100,19497,19531.23,0.998247
80,000010100,19292,19531.23,0.987751
81,100010100,19518,19531.23,0.999322
82,010010100,19460,19531.23,0.996353
83,110010100,19457,19531.23,0.996199
84,001010100,19542,19531.23,1.000551
85,101010100,19491,19531.23,0.997940
86,011010100,19618,19531.23,1.004442
87,111010100,19705,19531.23,1.008897
88,000110100,19333,19531.23,0.989850
89,100110100,19435,19531.23,0.995073
90,010110100,19529,19531.23,0.999886
91,110110100,19503,19531.23,0.998554
92,001110100,19626,19531.23,1.004852
93,101110100,19332,19531.23,0.989799
94,011110100,19562,19531.23,1.001575
95,111110100,19584,19531.23,1.002702
96,000001100,19436,19531.23,0.995124
97,100001100,19633,19531.23,1.005210
98,010001100,19551,19531.23,1.001012
99,110001100,19638,19531.23,1.005466
100,001001100,19474,19531.23,0.997070
101,101001100,19508,19531.23,0.998810
102,011001100,19464,19531.23,0.996558
103,111001100,19154,19531.23,0.980686
104,000101100,19570,19531.23,1.001985
105,100101100,19591,19531.23,1.003060
106,010101100,19529,19531.23,0.999886
107,110101100,19831,19531.23,1.015348
108,001101100,19566,19531.23,1.001780
109,101101100,19572,19531.23,1.002087
110,011101100,19474,19531.23,0.997070
111,111101100,19492,19531.23,0.997991
112,000011100,19396,19531.23,0.993076
113,100011100,19488,19531.23,0.997786
114,010011100,19589,19531.23,1.002958
115,110011100,19579,19531.23,1.002446
116,001011100,19141,19531.23,0.980020
117,101011100,19694,19531.23,1.008334
118,011011100,19670,19531.23,1.007105
119,111011100,19474,19531.23,0.997070
120,000111100,19653,19531.23,1.006234
121,100111100,19625,19531.23,1.004801
122,010111100,19745,19531.23,1.010945
123,110111100,19554,19531.23,1.001166
124,001111100,19618,19531.23,1.004442
125,101111100,19443,19531.23,0.995482
126,011111100,19553,19531.23,1.001114
127,111111100,19312,19531.23,0.988775
128,000000010,19428,19531.23,0.994714
129,100000010,19483,19531.23,0.997530
130,010000010,19409,19531.23,0.993742
131,110000010,19448,19531.23,0.995738
132,001000010,19637,19531.23,1.005415
133,101000010,19379,19531.23,0.992206
134,011000010,19520,19531.23,0.999425
135,111000010,19539,19531.23,1.000398
136,000100010,19337,19531.23,0.990055
137,100100010,19515,19531.23,0.999169
138,010100010,19424,19531.23,0.994510
139,110100010,19520,19531.23,0.999425
140,001100010,19427,19531.23,0.994663
141,101100010,19692,19531.23,1.008231
142,011100010,19533,19531.23,1.000090
143,111100010,19599,19531.23,1.003470
