pattern_value,pattern_bits,count,expected,ratio
0,0000,623982,624999.81,0.998371
1,1000,624557,624999.81,0.999291
2,0100,623811,624999.81,0.998098
3,1100,625018,624999.81,1.000029
4,0010,623850,624999.81,0.998160
5,1010,625413,624999.81,1.000661
6,0110,625701,624999.81,1.001122
7,1110,625447,624999.81,1.000716
8,0001,624557,624999.81,0.999291
9,1001,624272,624999.81,0.998835
10,0101,625452,624999.81,1.000724
11,1101,626130,624999.81,1.001808
12,0011,624979,624999.81,0.999967
13,1011,626169,624999.81,1.001871
14,0111,625447,624999.81,1.000716
15,1111,625212,624999.81,1.000340
