pattern_value,pattern_bits,count,expected,ratio
0,0000000000000000,148,152.59,0.969934
1,1000000000000000,141,152.59,0.924059
2,0100000000000000,138,152.59,0.904398
3,1100000000000000,159,152.59,1.042024
4,0010000000000000,158,152.59,1.035470
5,1010000000000000,149,152.59,0.976488
6,0110000000000000,146,152.59,0.956827
7,1110000000000000,157,152.59,1.028917
8,0001000000000000,154,152.59,1.009256
9,1001000000000000,147,152.59,0.963381
10,0101000000000000,144,152.59,0.943720
11,1101000000000000,151,152.59,0.989595
12,0011000000000000,140,152.59,0.917505
13,1011000000000000,157,152.59,1.028917
14,0111000000000000,153,152.59,1.002702
15,1111000000000000,150,152.59,0.983041
16,0000100000000000,150,152.59,0.983041
17,1000100000000000,133,152.59,0.871630
18,0100100000000000,147,152.59,0.963381
19,1100100000000000,148,152.59,0.969934
20,0010100000000000,136,152.59,0.891291
21,1010100000000000,151,152.59,0.989595
22,0110100000000000,139,152.59,0.910952
23,1110100000000000,140,152.59,0.917505
24,0001100000000000,163,152.59,1.068238
25,1001100000000000,122,152.59,0.799540
26,0101100000000000,136,152.59,0.891291
27,1101100000000000,158,152.59,1.035470
28,0011100000000000,153,152.59,1.002702
29,1011100000000000,149,152.59,0.976488
30,0111100000000000,165,152.59,1.081346
31,1111100000000000,154,152.59,1.009256
32,0000010000000000,168,152.59,1.101006
33,1000010000000000,132,152.59,0.865076
34,0100010000000000,151,152.59,0.989595
35,1100010000000000,154,152.59,1.009256
36,0010010000000000,150,152.59,0.983041
37,1010010000000000,144,152.59,0.943720
38,0110010000000000,162,152.59,1.061685
39,1110010000000000,153,152.59,1.002702
40,0001010000000000,126,152.59,0.825755
41,1001010000000000,149,152.59,0.976488
42,0101010000000000,144,152.59,0.943720
43,1101010000000000,169,152.59,1.107560
44,0011010000000000,149,152.59,0.976488
45,1011010000000000,145,152.59,0.950273
46,0111010000000000,165,152.59,1.081346
47,1111010000000000,147,152.59,0.963381
48,0000110000000000,155,152.59,1.015810
49,1000110000000000,165,152.59,1.081346
50,0100110000000000,135,152.59,0.884737
51,1100110000000000,137,152.59,0.897845
52,0010110000000000,163,152.59,1.068238
53,1010110000000000,135,152.59,0.884737
54,0110110000000000,143,152.59,0.937166
55,1110110000000000,146,152.59,0.956827
56,0001110000000000,156,152.59,1.022363
57,1001110000000000,171,152.59,1.120667
58,0101110000000000,158,152.59,1.035470
59,1101110000000000,167,152.59,1.094453
60,0011110000000000,155,152.59,1.015810
61,1011110000000000,166,152.59,1.087899
62,0111110000000000,150,152.59,0.983041
63,1111110000000000,150,152.59,0.983041
64,0000001000000000,137,152.59,0.897845
65,1000001000000000,176,152.59,1.153435
66,0100001000000000,127,152.59,0.832308
67,1100001000000000,158,152.59,1.035470
68,0010001000000000,163,152.59,1.068238
69,1010001000000000,155,152.59,1.015810
70,0110001000000000,153,152.59,1.002702
71,1110001000000000,162,152.59,1.061685
72,0001001000000000,159,152.59,1.042024
73,1001001000000000,138,152.59,0.904398
74,0101001000000000,128,152.59,0.838862
75,1101001000000000,176,152.59,1.153435
76,0011001000000000,163,152.59,1.068238
77,1011001000000000,138,152.59,0.904398
78,0111001000000000,170,152.59,1.114114
79,1111001000000000,161,152.59,1.055131
80,0000101000000000,134,152.59,0.878184
81,1000101000000000,137,152.59,0.897845
82,0100101000000000,156,152.59,1.022363
83,1100101000000000,135,152.59,0.884737
84,0010101000000000,157,152.59,1.028917
85,1010101000000000,158,152.59,1.035470
86,0110101000000000,160,152.59,1.048578
87,1110101000000000,178,152.59,1.166543
88,0001101000000000,166,152.59,1.087899
89,1001101000000000,164,152.59,1.074792
90,0101101000000000,152,152.59,0.996149
91,1101101000000000,154,152.59,1.009256
92,0011101000000000,148,152.59,0.969934
93,1011101000000000,156,152.59,1.022363
94,0111101000000000,165,152.59,1.081346
95,1111101000000000,141,152.59,0.924059
96,0000011000000000,158,152.59,1.035470
97,1000011000000000,148,152.59,0.969934
98,0100011000000000,161,152.59,1.055131
99,1100011000000000,169,152.59,1.107560
100,0010011000000000,150,152.59,0.983041
101,1010011000000000,148,152.59,0.969934
102,0110011000000000,142,152.59,0.930613
103,1110011000000000,141,152.59,0.924059
104,0001011000000000,158,152.59,1.035470
105,1001011000000000,157,152.59,1.028917
106,0101011000000000,137,152.59,0.897845
107,1101011000000000,147,152.59,0.963381
108,0011011000000000,145,152.59,0.950273
109,1011011000000000,150,152.59,0.983041
110,0111011000000000,140,152.59,0.917505
111,1111011000000000,171,152.59,1.120667
112,0000111000000000,154,152.59,1.009256
113,1000111000000000,163,152.59,1.068238
114,0100111000000000,178,152.59,1.166543
115,1100111000000000,147,152.59,0.963381
116,0010111000000000,155,152.59,1.015810
117,1010111000000000,167,152.59,1.094453
118,0110111000000000,152,152.59,0.996149
119,1110111000000000,174,152.59,1.140328
120,0001111000000000,151,152.59,0.989595
121,1001111000000000,174,152.59,1.140328
122,0101111000000000,158,152.59,1.035470
123,1101111000000000,158,152.59,1.035470
124,0011111000000000,151,152.59,0.989595
125,1011111000000000,157,152.59,1.028917
126,0111111000000000,153,152.59,1.002702
127,1111111000000000,154,152.59,1.009256
128,0000000100000000,141,152.59,0.924059
129,1000000100000000,164,152.59,1.074792
130,0100000100000000,162,152.59,1.061685
131,1100000100000000,179,152.59,1.173096
132,0010000100000000,129,152.59,0.845416
133,1010000100000000,168,152.59,1.101006
134,0110000100000000,156,152.59,1.022363
135,1110000100000000,146,152.59,0.956827
136,0001000100000000,139,152.59,0.910952
137,1001000100000000,164,152.59,1.074792
138,0101000100000000,140,152.59,0.917505
139,1101000100000000,152,152.59,0.996149
140,0011000100000000,134,152.59,0.878184
141,1011000100000000,161,152.59,1.055131
142,0111000100000000,155,152.59,1.015810
143,1111000100000000,147,152.59,0.963381
144,0000100100000000,163,152.59,1.068238
145,1000100100000000,157,152.59,1.028917
146,0100100100000000,136,152.59,0.891291
147,1100100100000000,151,152.59,0.989595
148,0010100100000000,138,152.59,0.904398
149,1010100100000000,150,152.59,0.983041
150,0110100100000000,148,152.59,0.969934
151,1110100100000000,168,152.59,1.101006
152,0001100100000000,179,152.59,1.173096
153,1001100100000000,158,152.59,1.035470
154,0101100100000000,147,152.59,0.963381
155,1101100100000000,138,152.59,0.904398
156,0011100100000000,153,152.59,1.002702
157,1011100100000000,161,152.59,1.055131
158,0111100100000000,150,152.59,0.983041
159,1111100100000000,179,152.59,1.173096
160,0000010100000000,159,152.59,1.042024
161,1000010100000000,129,152.59,0.845416
162,0100010100000000,135,152.59,0.884737
163,1100010100000000,147,152.59,0.963381
164,0010010100000000,148,152.59,0.969934
165,1010010100000000,149,152.59,0.976488
166,0110010100000000,130,152.59,0.851969
167,1110010100000000,148,152.59,0.969934
168,0001010100000000,156,152.59,1.022363
169,1001010100000000,150,152.59,0.983041
170,0101010100000000,144,152.59,0.943720
171,1101010100000000,168,152.59,1.101006
172,0011010100000000,162,152.59,1.061685
173,1011010100000000,165,152.59,1.081346
174,0111010100000000,163,152.59,1.068238
175,1111010100000000,169,152.59,1.107560
176,0000110100000000,143,152.59,0.937166
177,1000110100000000,179,152.59,1.173096
178,0100110100000000,153,152.59,1.002702
179,1100110100000000,154,152.59,1.009256
180,0010110100000000,155,152.59,1.015810
181,1010110100000000,140,152.59,0.917505
182,0110110100000000,147,152.59,0.963381
183,1110110100000000,152,152.59,0.996149
184,0001110100000000,137,152.59,0.897845
185,1001110100000000,154,152.59,1.009256
186,0101110100000000,152,152.59,0.996149
187,1101110100000000,153,152.59,1.002702
188,0011110100000000,148,152.59,0.969934
189,1011110100000000,176,152.59,1.153435
190,0111110100000000,162,152.59,1.061685
191,1111110100000000,161,152.59,1.055131
192,0000001100000000,163,152.59,1.068238
193,1000001100000000,138,152.59,0.904398
194,0100001100000000,134,152.59,0.878184
195,1100001100000000,151,152.59,0.989595
196,0010001100000000,161,152.59,1.055131
197,1010001100000000,163,152.59,1.068238
198,0110001100000000,175,152.59,1.146882
199,1110001100000000,169,152.59,1.107560
200,0001001100000000,156,152.59,1.022363
201,1001001100000000,147,152.59,0.963381
202,0101001100000000,159,152.59,1.042024
203,1101001100000000,144,152.59,0.943720
204,0011001100000000,142,152.59,0.930613
205,1011001100000000,141,152.59,0.924059
206,0111001100000000,181,152.59,1.186203
207,1111001100000000,137,152.59,0.897845
208,0000101100000000,160,152.59,1.048578
209,1000101100000000,168,152.59,1.101006
210,0100101100000000,168,152.59,1.101006
211,1100101100000000,158,152.59,1.035470
212,0010101100000000,147,152.59,0.963381
213,1010101100000000,126,152.59,0.825755
214,0110101100000000,152,152.59,0.996149
215,1110101100000000,155,152.59,1.015810
216,0001101100000000,158,152.59,1.035470
217,1001101100000000,145,152.59,0.950273
218,0101101100000000,133,152.59,0.871630
219,1101101100000000,145,152.59,0.950273
220,0011101100000000,156,152.59,1.022363
221,1011101100000000,160,152.59,1.048578
222,0111101100000000,166,152.59,1.087899
223,1111101100000000,142,152.59,0.930613
224,0000011100000000,151,152.59,0.989595
225,1000011100000000,174,152.59,1.140328
226,0100011100000000,156,152.59,1.022363
227,1100011100000000,156,152.59,1.022363
228,0010011100000000,167,152.59,1.094453
229,1010011100000000,152,152.59,0.996149
230,0110011100000000,142,152.59,0.930613
231,1110011100000000,159,152.59,1.042024
232,0001011100000000,166,152.59,1.087899
233,1001011100000000,149,152.59,0.976488
234,0101011100000000,161,152.59,1.055131
235,1101011100000000,178,152.59,1.166543
236,0011011100000000,162,152.59,1.061685
237,1011011100000000,145,152.59,0.950273
238,0111011100000000,160,152.59,1.048578
239,1111011100000000,145,152.59,0.950273
240,0000111100000000,151,152.59,0.989595
241,1000111100000000,145,152.59,0.950273
242,0100111100000000,152,152.59,0.996149
243,1100111100000000,168,152.59,1.101006
244,0010111100000000,168,152.59,1.101006
245,1010111100000000,138,152.59,0.904398
246,0110111100000000,157,152.59,1.028917
247,1110111100000000,156,152.59,1.022363
248,0001111100000000,149,152.59,0.976488
249,1001111100000000,145,152.59,0.950273
250,0101111100000000,160,152.59,1.048578
251,1101111100000000,141,152.59,0.924059
252,0011111100000000,144,152.59,0.943720
253,1011111100000000,160,152.59,1.048578
254,0111111100000000,166,152.59,1.087899
255,1111111100000000,130,152.59,0.851969
256,0000000010000000,153,152.59,1.002702
257,1000000010000000,149,152.59,0.976488
258,0100000010000000,166,152.59,1.087899
259,1100000010000000,162,152.59,1.061685
260,0010000010000000,164,152.59,1.074792
261,1010000010000000,165,152.59,1.081346
262,0110000010000000,163,152.59,1.068238
263,1110000010000000,158,152.59,1.035470
264,0001000010000000,137,152.59,0.897845
265,1001000010000000,133,152.59,0.871630
266,0101000010000000,155,152.59,1.015810
267,1101000010000000,158,152.59,1.035470
268,0011000010000000,167,152.59,1.094453
269,1011000010000000,155,152.59,1.015810
270,0111000010000000,138,152.59,0.904398
271,1111000010000000,142,152.59,0.930613
272,0000100010000000,152,152.59,0.996149
273,1000100010000000,149,152.59,0.976488
274,0100100010000000,158,152.59,1.035470
275,1100100010000000,163,152.59,1.068238
276,0010100010000000,155,152.59,1.015810
277,1010100010000000,160,152.59,1.048578
278,0110100010000000,160,152.59,1.048578
279,1110100010000000,156,152.59,1.022363
280,0001100010000000,156,152.59,1.022363
281,1001100010000000,125,152.59,0.819201
282,0101100010000000,159,152.59,1.042024
283,1101100010000000,167,152.59,1.094453
284,0011100010000000,163,152.59,1.068238
285,1011100010000000,148,152.59,0.969934
286,0111100010000000,157,152.59,1.028917
287,1111100010000000,146,152.59,0.956827
288,0000010010000000,156,152.59,1.022363
289,1000010010000000,157,152.59,1.028917
290,0100010010000000,159,152.59,1.042024
291,1100010010000000,141,152.59,0.924059
292,0010010010000000,145,152.59,0.950273
293,1010010010000000,153,152.59,1.002702
294,0110010010000000,142,152.59,0.930613
295,1110010010000000,168,152.59,1.101006
296,0001010010000000,131,152.59,0.858523
297,1001010010000000,137,152.59,0.897845
298,0101010010000000,165,152.59,1.081346
299,1101010010000000,155,152.59,1.015810
300,0011010010000000,138,152.59,0.904398
301,1011010010000000,153,152.59,1.002702
302,0111010010000000,176,152.59,1.153435
303,1111010010000000,148,152.59,0.969934
304,0000110010000000,163,152.59,1.068238
305,1000110010000000,170,152.59,1.114114
306,0100110010000000,137,152.59,0.897845
307,1100110010000000,161,152.59,1.055131
308,0010110010000000,158,152.59,1.035470
309,1010110010000000,144,152.59,0.943720
310,0110110010000000,138,152.59,0.904398
311,1110110010000000,156,152.59,1.022363
312,0001110010000000,166,152.59,1.087899
313,1001110010000000,145,152.59,0.950273
314,0101110010000000,172,152.59,1.127221
315,1101110010000000,144,152.59,0.943720
316,0011110010000000,147,152.59,0.963381
317,1011110010000000,139,152.59,0.910952
318,0111110010000000,151,152.59,0.989595
319,1111110010000000,163,152.59,1.068238
320,0000001010000000,173,152.59,1.133775
321,1000001010000000,152,152.59,0.996149
322,0100001010000000,146,152.59,0.956827
323,1100001010000000,130,152.59,0.851969
324,0010001010000000,154,152.59,1.009256
325,1010001010000000,138,152.59,0.904398
326,0110001010000000,161,152.59,1.055131
327,1110001010000000,119,152.59,0.779880
328,0001001010000000,164,152.59,1.074792
329,1001001010000000,137,152.59,0.897845
330,0101001010000000,155,152.59,1.015810
331,1101001010000000,135,152.59,0.884737
332,0011001010000000,162,152.59,1.061685
333,1011001010000000,145,152.59,0.950273
334,0111001010000000,137,152.59,0.897845
335,1111001010000000,144,152.59,0.943720
336,0000101010000000,149,152.59,0.976488
337,1000101010000000,155,152.59,1.015810
338,0100101010000000,156,152.59,1.022363
339,1100101010000000,147,152.59,0.963381
340,0010101010000000,144,152.59,0.943720
341,1010101010000000,153,152.59,1.002702
342,0110101010000000,141,152.59,0.924059
343,1110101010000000,165,152.59,1.081346
344,0001101010000000,144,152.59,0.943720
345,1001101010000000,156,152.59,1.022363
346,0101101010000000,189,152.59,1.238632
347,1101101010000000,141,152.59,0.924059
348,0011101010000000,161,152.59,1.055131
349,1011101010000000,157,152.59,1.028917
350,0111101010000000,160,152.59,1.048578
351,1111101010000000,167,152.59,1.094453
352,0000011010000000,147,152.59,0.963381
353,1000011010000000,158,152.59,1.035470
354,0100011010000000,165,152.59,1.081346
355,1100011010000000,153,152.59,1.002702
356,0010011010000000,154,152.59,1.009256
357,1010011010000000,161,152.59,1.055131
358,0110011010000000,162,152.59,1.061685
359,1110011010000000,153,152.59,1.002702
360,0001011010000000,175,152.59,1.146882
361,1001011010000000,157,152.59,1.028917
362,0101011010000000,135,152.59,0.884737
363,1101011010000000,150,152.59,0.983041
364,0011011010000000,148,152.59,0.969934
365,1011011010000000,131,152.59,0.858523
366,0111011010000000,143,152.59,0.937166
367,1111011010000000,158,152.59,1.035470
368,0000111010000000,134,152.59,0.878184
369,1000111010000000,141,152.59,0.924059
370,0100111010000000,144,152.59,0.943720
371,1100111010000000,163,152.59,1.068238
372,0010111010000000,163,152.59,1.068238
373,1010111010000000,149,152.59,0.976488
