pattern_value,pattern_bits,count,expected,ratio
0,0000000000000,8193245,1220.70,6711.914358
1,1000000000000,241,1220.70,0.197427
2,0100000000000,215,1220.70,0.176128
3,1100000000000,205,1220.70,0.167936
4,0010000000000,232,1220.70,0.190055
5,1010000000000,211,1220.70,0.172851
6,0110000000000,187,1220.70,0.153191
7,1110000000000,207,1220.70,0.169575
8,0001000000000,229,1220.70,0.187597
9,1001000000000,253,1220.70,0.207258
10,0101000000000,216,1220.70,0.176947
11,1101000000000,224,1220.70,0.183501
12,0011000000000,206,1220.70,0.168755
13,1011000000000,208,1220.70,0.170394
14,0111000000000,219,1220.70,0.179405
15,1111000000000,217,1220.70,0.177767
16,0000100000000,222,1220.70,0.181863
17,1000100000000,221,1220.70,0.181043
18,0100100000000,221,1220.70,0.181043
19,1100100000000,229,1220.70,0.187597
20,0010100000000,205,1220.70,0.167936
21,1010100000000,233,1220.70,0.190874
22,0110100000000,210,1220.70,0.172032
23,1110100000000,225,1220.70,0.184320
24,0001100000000,210,1220.70,0.172032
25,1001100000000,211,1220.70,0.172851
26,0101100000000,223,1220.70,0.182682
27,1101100000000,223,1220.70,0.182682
28,0011100000000,236,1220.70,0.193331
29,1011100000000,219,1220.70,0.179405
30,0111100000000,227,1220.70,0.185959
31,1111100000000,215,1220.70,0.176128
32,0000010000000,241,1220.70,0.197427
33,1000010000000,208,1220.70,0.170394
34,0100010000000,228,1220.70,0.186778
35,1100010000000,198,1220.70,0.162202
36,0010010000000,228,1220.70,0.186778
37,1010010000000,224,1220.70,0.183501
38,0110010000000,237,1220.70,0.194151
39,1110010000000,229,1220.70,0.187597
40,0001010000000,218,1220.70,0.178586
41,1001010000000,208,1220.70,0.170394
42,0101010000000,239,1220.70,0.195789
43,1101010000000,211,1220.70,0.172851
44,0011010000000,213,1220.70,0.174490
45,1011010000000,211,1220.70,0.172851
46,0111010000000,233,1220.70,0.190874
47,1111010000000,241,1220.70,0.197427
48,0000110000000,208,1220.70,0.170394
49,1000110000000,234,1220.70,0.191693
50,0100110000000,212,1220.70,0.173671
51,1100110000000,241,1220.70,0.197427
52,0010110000000,217,1220.70,0.177767
53,1010110000000,218,1220.70,0.178586
54,0110110000000,228,1220.70,0.186778
55,1110110000000,224,1220.70,0.183501
56,0001110000000,222,1220.70,0.181863
57,1001110000000,226,1220.70,0.185139
58,0101110000000,209,1220.70,0.171213
59,1101110000000,197,1220.70,0.161383
60,0011110000000,223,1220.70,0.182682
61,1011110000000,217,1220.70,0.177767
62,0111110000000,209,1220.70,0.171213
63,1111110000000,206,1220.70,0.168755
64,0000001000000,241,1220.70,0.197427
65,1000001000000,226,1220.70,0.185139
66,0100001000000,207,1220.70,0.169575
67,1100001000000,219,1220.70,0.179405
68,0010001000000,233,1220.70,0.190874
69,1010001000000,233,1220.70,0.190874
70,0110001000000,224,1220.70,0.183501
71,1110001000000,191,1220.70,0.156467
72,0001001000000,214,1220.70,0.175309
73,1001001000000,231,1220.70,0.189235
74,0101001000000,214,1220.70,0.175309
75,1101001000000,225,1220.70,0.184320
76,0011001000000,240,1220.70,0.196608
77,1011001000000,217,1220.70,0.177767
78,0111001000000,235,1220.70,0.192512
79,1111001000000,218,1220.70,0.178586
80,0000101000000,240,1220.70,0.196608
81,1000101000000,196,1220.70,0.160563
82,0100101000000,207,1220.70,0.169575
83,1100101000000,223,1220.70,0.182682
84,0010101000000,244,1220.70,0.199885
85,1010101000000,228,1220.70,0.186778
86,0110101000000,193,1220.70,0.158106
87,1110101000000,213,1220.70,0.174490
88,0001101000000,221,1220.70,0.181043
89,1001101000000,228,1220.70,0.186778
90,0101101000000,218,1220.70,0.178586
91,1101101000000,208,1220.70,0.170394
92,0011101000000,229,1220.70,0.187597
93,1011101000000,211,1220.70,0.172851
94,0111101000000,236,1220.70,0.193331
95,1111101000000,245,1220.70,0.200704
96,0000011000000,237,1220.70,0.194151
97,1000011000000,240,1220.70,0.196608
