pattern_value,pattern_bits,count,expected,ratio
0,00000,8249485,312499.88,26.398363
1,10000,56362,312499.88,0.180358
2,01000,56529,312499.88,0.180893
3,11000,56244,312499.88,0.179981
4,00100,55903,312499.88,0.178890
5,10100,56769,312499.88,0.181661
6,01100,56311,312499.88,0.180195
7,11100,56204,312499.88,0.179853
8,00010,56349,312499.88,0.180317
9,10010,55887,312499.88,0.178838
10,01010,56748,312499.88,0.181594
11,11010,56872,312499.88,0.181990
12,00110,56696,312499.88,0.181427
13,10110,56479,312499.88,0.180733
14,01110,56398,312499.88,0.180474
15,11110,56538,312499.88,0.180922
16,00001,56361,312499.88,0.180355
17,10001,56411,312499.88,0.180515
18,01001,56143,312499.88,0.179658
19,11001,56271,312499.88,0.180067
20,00101,56333,312499.88,0.180266
21,10101,56851,312499.88,0.181923
22,01101,56864,312499.88,0.181965
23,11101,56732,312499.88,0.181542
24,00011,56423,312499.88,0.180554
25,10011,56527,312499.88,0.180886
26,01011,56436,312499.88,0.180595
27,11011,56725,312499.88,0.181520
28,00111,56254,312499.88,0.180013
29,10111,56682,312499.88,0.181382
30,01111,56538,312499.88,0.180922
31,11111,56671,312499.88,0.181347
