pattern_value,pattern_bits,count,expected,ratio
0,00000000000,4736,4882.81,0.969934
1,10000000000,4860,4882.81,0.995329
2,01000000000,4925,4882.81,1.008641
3,11000000000,4968,4882.81,1.017447
4,00100000000,4913,4882.81,1.006183
5,10100000000,4888,4882.81,1.001063
6,01100000000,4900,4882.81,1.003521
7,11100000000,4953,4882.81,1.014375
8,00010000000,4939,4882.81,1.011508
9,10010000000,4878,4882.81,0.999015
10,01010000000,4837,4882.81,0.990619
11,11010000000,4946,4882.81,1.012942
12,00110000000,4935,4882.81,1.010689
13,10110000000,4829,4882.81,0.988980
14,01110000000,4854,4882.81,0.994100
15,11110000000,4855,4882.81,0.994305
16,00001000000,4962,4882.81,1.016219
17,10001000000,4882,4882.81,0.999835
18,01001000000,4883,4882.81,1.000039
19,11001000000,4874,4882.81,0.998196
20,00101000000,4783,4882.81,0.979559
21,10101000000,4904,4882.81,1.004340
22,01101000000,4815,4882.81,0.986113
23,11101000000,4887,4882.81,1.000859
24,00011000000,4905,4882.81,1.004545
25,10011000000,4932,4882.81,1.010075
26,01011000000,4853,4882.81,0.993895
27,11011000000,4880,4882.81,0.999425
28,00111000000,4862,4882.81,0.995739
29,10111000000,4811,4882.81,0.985294
30,01111000000,4890,4882.81,1.001473
31,11111000000,4859,4882.81,0.995124
32,00000100000,4934,4882.81,1.010484
33,10000100000,4868,4882.81,0.996967
34,01000100000,4898,4882.81,1.003111
35,11000100000,4840,4882.81,0.991233
36,00100100000,4902,4882.81,1.003931
37,10100100000,4894,4882.81,1.002292
38,01100100000,4976,4882.81,1.019086
39,11100100000,4939,4882.81,1.011508
40,00010100000,4676,4882.81,0.957646
41,10010100000,4790,4882.81,0.980993
42,01010100000,4777,4882.81,0.978331
43,11010100000,4989,4882.81,1.021748
44,00110100000,4903,4882.81,1.004135
45,10110100000,4757,4882.81,0.974235
46,01110100000,4924,4882.81,1.008436
47,11110100000,4871,4882.81,0.997582
48,00001100000,4839,4882.81,0.991028
49,10001100000,4978,4882.81,1.019495
50,01001100000,4913,4882.81,1.006183
51,11001100000,4817,4882.81,0.986523
52,00101100000,4963,4882.81,1.016423
53,10101100000,4830,4882.81,0.989185
54,01101100000,4837,4882.81,0.990619
55,11101100000,4931,4882.81,1.009870
56,00011100000,4887,4882.81,1.000859
57,10011100000,4889,4882.81,1.001268
58,01011100000,4762,4882.81,0.975259
59,11011100000,4826,4882.81,0.988366
60,00111100000,4968,4882.81,1.017447
61,10111100000,4756,4882.81,0.974030
62,01111100000,4835,4882.81,0.990209
63,11111100000,4899,4882.81,1.003316
64,00000010000,4871,4882.81,0.997582
65,10000010000,4931,4882.81,1.009870
66,01000010000,4900,4882.81,1.003521
67,11000010000,4902,4882.81,1.003931
68,00100010000,4812,4882.81,0.985499
69,10100010000,4937,4882.81,1.011099
70,01100010000,4868,4882.81,0.996967
71,11100010000,4839,4882.81,0.991028
72,00010010000,4894,4882.81,1.002292
