pattern_value,pattern_bits,count,expected,ratio
0,00000000,39143,39062.47,1.002062
1,10000000,39073,39062.47,1.000270
2,01000000,38990,39062.47,0.998145
3,11000000,38992,39062.47,0.998196
4,00100000,39251,39062.47,1.004826
5,10100000,38687,39062.47,0.990388
6,01100000,39108,39062.47,1.001166
7,11100000,38822,39062.47,0.993844
8,00010000,39060,39062.47,0.999937
9,10010000,39271,39062.47,1.005338
10,01010000,38672,39062.47,0.990004
11,11010000,38828,39062.47,0.993997
12,00110000,38953,39062.47,0.997197
13,10110000,38959,39062.47,0.997351
14,01110000,38916,39062.47,0.996250
15,11110000,39257,39062.47,1.004980
16,00001000,38998,39062.47,0.998349
17,10001000,38804,39062.47,0.993383
18,01001000,38920,39062.47,0.996353
19,11001000,39382,39062.47,1.008180
20,00101000,38589,39062.47,0.987879
21,10101000,39213,39062.47,1.003854
22,01101000,38829,39062.47,0.994023
23,11101000,38928,39062.47,0.996557
24,00011000,39175,39062.47,1.002881
25,10011000,38720,39062.47,0.991233
26,01011000,39093,39062.47,1.000782
27,11011000,39121,39062.47,1.001498
28,00111000,39240,39062.47,1.004545
29,10111000,38929,39062.47,0.996583
30,01111000,39600,39062.47,1.013761
31,11111000,39016,39062.47,0.998810
32,00000100,38948,39062.47,0.997069
33,10000100,39088,39062.47,1.000654
34,01000100,39000,39062.47,0.998401
35,11000100,38854,39062.47,0.994663
36,00100100,38686,39062.47,0.990362
37,10100100,38937,39062.47,0.996788
38,01100100,39295,39062.47,1.005953
39,11100100,39016,39062.47,0.998810
40,00010100,38810,39062.47,0.993537
41,10010100,38917,39062.47,0.996276
42,01010100,39033,39062.47,0.999245
43,11010100,39323,39062.47,1.006670
44,00110100,38768,39062.47,0.992461
45,10110100,39032,39062.47,0.999220
46,01110100,38958,39062.47,0.997325
47,11110100,39146,39062.47,1.002138
48,00001100,39069,39062.47,1.000167
49,10001100,39189,39062.47,1.003239
50,01001100,38982,39062.47,0.997940
51,11001100,38618,39062.47,0.988621
52,00101100,39161,39062.47,1.002522
53,10101100,39360,39062.47,1.007617
54,01101100,39138,39062.47,1.001934
55,11101100,38966,39062.47,0.997530
56,00011100,38884,39062.47,0.995431
57,10011100,39168,39062.47,1.002702
58,01011100,38835,39062.47,0.994177
59,11011100,39145,39062.47,1.002113
60,00111100,39278,39062.47,1.005518
61,10111100,39299,39062.47,1.006055
62,01111100,39061,39062.47,0.999962
63,11111100,38865,39062.47,0.994945
64,00000010,38911,39062.47,0.996122
65,10000010,38857,39062.47,0.994740
66,01000010,39016,39062.47,0.998810
67,11000010,39059,39062.47,0.999911
68,00100010,38852,39062.47,0.994612
69,10100010,38944,39062.47,0.996967
70,01100010,39119,39062.47,1.001447
71,11100010,39132,39062.47,1.001780
72,00010010,38924,39062.47,0.996455
73,10010010,38654,39062.47,0.989543
74,01010010,39071,39062.47,1.000218
75,11010010,38950,39062.47,0.997121
76,00110010,39149,39062.47,1.002215
77,10110010,39201,39062.47,1.003546
78,01110010,39046,39062.47,0.999578
79,11110010,38965,39062.47,0.997505
80,00001010,38756,39062.47,0.992154
81,10001010,39254,39062.47,1.004903
82,01001010,38665,39062.47,0.989825
83,11001010,39002,39062.47,0.998452
84,00101010,38822,39062.47,0.993844
85,10101010,39057,39062.47,0.999860
86,01101010,39273,39062.47,1.005390
87,11101010,39351,39062.47,1.007386
88,00011010,39154,39062.47,1.002343
89,10011010,39076,39062.47,1.000346
90,01011010,39078,39062.47,1.000398
91,11011010,39166,39062.47,1.002650
92,00111010,39138,39062.47,1.001934
93,10111010,39088,39062.47,1.000654
94,01111010,39335,39062.47,1.006977
95,11111010,39198,39062.47,1.003470
96,00000110,39048,39062.47,0.999629
97,10000110,39232,39062.47,1.004340
98,01000110,39220,39062.47,1.004033
99,11000110,39280,39062.47,1.005569
100,00100110,39046,39062.47,0.999578
101,10100110,39138,39062.47,1.001934
102,01100110,39072,39062.47,1.000244
103,11100110,38684,39062.47,0.990311
104,00010110,38973,39062.47,0.997709
105,10010110,39353,39062.47,1.007438
106,01010110,39098,39062.47,1.000910
107,11010110,39359,39062.47,1.007591
108,00110110,39187,39062.47,1.003188
109,10110110,38891,39062.47,0.995610
110,01110110,39121,39062.47,1.001498
111,11110110,38999,39062.47,0.998375
112,00001110,39100,39062.47,1.000961
113,10001110,38853,39062.47,0.994637
114,01001110,39153,39062.47,1.002318
115,11001110,39002,39062.47,0.998452
116,00101110,38637,39062.47,0.989108
117,10101110,39341,39062.47,1.007130
118,01101110,39301,39062.47,1.006106
119,11101110,39067,39062.47,1.000116
120,00011110,39111,39062.47,1.001242
121,10011110,39158,39062.47,1.002446
122,01011110,39350,39062.47,1.007361
123,11011110,39208,39062.47,1.003726
124,00111110,39115,39062.47,1.001345
