pattern_value,pattern_bits,count,expected,ratio
0,000000,8221284,156249.92,52.616244
1,100000,28201,156249.92,0.180486
2,010000,28297,156249.92,0.181101
3,110000,28065,156249.92,0.179616
4,001000,28352,156249.92,0.181453
5,101000,28177,156249.92,0.180333
6,011000,28107,156249.92,0.179885
7,111000,28137,156249.92,0.180077
8,000100,27989,156249.92,0.179130
9,100100,27914,156249.92,0.178650
10,010100,28250,156249.92,0.180800
11,110100,28519,156249.92,0.182522
12,001100,28131,156249.92,0.180038
13,101100,28180,156249.92,0.180352
14,011100,27834,156249.92,0.178138
15,111100,28370,156249.92,0.181568
16,000010,28153,156249.92,0.180179
17,100010,28196,156249.92,0.180454
18,010010,27842,156249.92,0.178189
19,110010,28045,156249.92,0.179488
20,001010,28195,156249.92,0.180448
21,101010,28553,156249.92,0.182739
22,011010,28406,156249.92,0.181798
23,111010,28466,156249.92,0.182182
24,000110,28302,156249.92,0.181133
25,100110,28394,156249.92,0.181722
26,010110,28208,156249.92,0.180531
27,110110,28271,156249.92,0.180934
28,001110,28092,156249.92,0.179789
29,101110,28306,156249.92,0.181158
30,011110,28301,156249.92,0.181126
31,111110,28237,156249.92,0.180717
32,000001,28200,156249.92,0.180480
33,100001,28161,156249.92,0.180230
34,010001,28232,156249.92,0.180685
35,110001,28179,156249.92,0.180346
36,001001,27551,156249.92,0.176326
37,101001,28592,156249.92,0.182989
38,011001,28204,156249.92,0.180506
39,111001,28067,156249.92,0.179629
40,000101,28360,156249.92,0.181504
41,100101,27973,156249.92,0.179027
42,010101,28498,156249.92,0.182387
43,110101,28353,156249.92,0.181459
44,001101,28565,156249.92,0.182816
45,101101,28299,156249.92,0.181114
46,011101,28564,156249.92,0.182810
47,111101,28168,156249.92,0.180275
48,000011,28208,156249.92,0.180531
49,100011,28215,156249.92,0.180576
50,010011,28301,156249.92,0.181126
51,110011,28226,156249.92,0.180646
52,001011,28138,156249.92,0.180083
53,101011,28298,156249.92,0.181107
54,011011,28458,156249.92,0.182131
55,111011,28266,156249.92,0.180902
56,000111,28121,156249.92,0.179974
57,100111,28133,156249.92,0.180051
58,010111,28228,156249.92,0.180659
59,110111,28454,156249.92,0.182106
60,001111,28162,156249.92,0.180237
61,101111,28376,156249.92,0.181606
62,011111,28237,156249.92,0.180717
63,111111,28434,156249.92,0.181978
