pattern_value,pattern_bits,count,expected,ratio
0,000000000000000,8193051,305.18,26847.027103
1,100000000000000,64,305.18,0.209715
2,010000000000000,68,305.18,0.222823
3,110000000000000,62,305.18,0.203162
4,001000000000000,65,305.18,0.212992
5,101000000000000,56,305.18,0.183501
6,011000000000000,59,305.18,0.193331
7,111000000000000,61,305.18,0.199885
8,000100000000000,55,305.18,0.180224
9,100100000000000,57,305.18,0.186778
10,010100000000000,50,305.18,0.163840
11,110100000000000,53,305.18,0.173671
12,001100000000000,52,305.18,0.170394
13,101100000000000,49,305.18,0.160563
14,011100000000000,50,305.18,0.163840
15,111100000000000,54,305.18,0.176947
16,000010000000000,59,305.18,0.193331
17,100010000000000,55,305.18,0.180224
18,010010000000000,54,305.18,0.176947
19,110010000000000,64,305.18,0.209715
20,001010000000000,47,305.18,0.154010
21,101010000000000,50,305.18,0.163840
22,011010000000000,58,305.18,0.190055
23,111010000000000,56,305.18,0.183501
24,000110000000000,45,305.18,0.147456
25,100110000000000,55,305.18,0.180224
26,010110000000000,42,305.18,0.137626
27,110110000000000,45,305.18,0.147456
28,001110000000000,50,305.18,0.163840
29,101110000000000,58,305.18,0.190055
30,011110000000000,47,305.18,0.154010
31,111110000000000,52,305.18,0.170394
32,000001000000000,63,305.18,0.206439
33,100001000000000,48,305.18,0.157287
34,010001000000000,65,305.18,0.212992
35,110001000000000,53,305.18,0.173671
36,001001000000000,65,305.18,0.212992
37,101001000000000,55,305.18,0.180224
38,011001000000000,67,305.18,0.219546
39,111001000000000,66,305.18,0.216269
40,000101000000000,48,305.18,0.157287
41,100101000000000,54,305.18,0.176947
42,010101000000000,62,305.18,0.203162
43,110101000000000,52,305.18,0.170394
44,001101000000000,52,305.18,0.170394
45,101101000000000,58,305.18,0.190055
46,011101000000000,57,305.18,0.186778
47,111101000000000,57,305.18,0.186778
48,000011000000000,44,305.18,0.144179
49,100011000000000,52,305.18,0.170394
50,010011000000000,46,305.18,0.150733
51,110011000000000,64,305.18,0.209715
52,001011000000000,46,305.18,0.150733
53,101011000000000,58,305.18,0.190055
54,011011000000000,48,305.18,0.157287
55,111011000000000,56,305.18,0.183501
56,000111000000000,56,305.18,0.183501
57,100111000000000,55,305.18,0.180224
58,010111000000000,58,305.18,0.190055
59,110111000000000,50,305.18,0.163840
60,001111000000000,53,305.18,0.173671
61,101111000000000,58,305.18,0.190055
62,011111000000000,53,305.18,0.173671
63,111111000000000,53,305.18,0.173671
64,000000100000000,62,305.18,0.203162
65,100000100000000,69,305.18,0.226100
66,010000100000000,48,305.18,0.157287
67,110000100000000,43,305.18,0.140903
68,001000100000000,54,305.18,0.176947
69,101000100000000,63,305.18,0.206439
70,011000100000000,63,305.18,0.206439
71,111000100000000,41,305.18,0.134349
72,000100100000000,56,305.18,0.183501
73,100100100000000,55,305.18,0.180224
74,010100100000000,52,305.18,0.170394
75,110100100000000,58,305.18,0.190055
76,001100100000000,74,305.18,0.242484
77,101100100000000,48,305.18,0.157287
78,011100100000000,49,305.18,0.160563
79,111100100000000,58,305.18,0.190055
80,000010100000000,58,305.18,0.190055
81,100010100000000,50,305.18,0.163840
82,010010100000000,50,305.18,0.163840
83,110010100000000,47,305.18,0.154010
84,001010100000000,60,305.18,0.196608
85,101010100000000,69,305.18,0.226100
86,011010100000000,51,305.18,0.167117
87,111010100000000,53,305.18,0.173671
88,000110100000000,49,305.18,0.160563
89,100110100000000,52,305.18,0.170394
90,010110100000000,63,305.18,0.206439
91,110110100000000,46,305.18,0.150733
92,001110100000000,51,305.18,0.167117
93,101110100000000,53,305.18,0.173671
94,011110100000000,59,305.18,0.193331
95,111110100000000,62,305.18,0.203162
96,000001100000000,47,305.18,0.154010
97,100001100000000,51,305.18,0.167117
98,010001100000000,58,305.18,0.190055
99,110001100000000,54,305.18,0.176947
100,001001100000000,51,305.18,0.167117
101,101001100000000,46,305.18,0.150733
102,011001100000000,55,305.18,0.180224
103,111001100000000,59,305.18,0.193331
104,000101100000000,58,305.18,0.190055
105,100101100000000,53,305.18,0.173671
106,010101100000000,50,305.18,0.163840
107,110101100000000,62,305.18,0.203162
108,001101100000000,58,305.18,0.190055
109,101101100000000,54,305.18,0.176947
110,011101100000000,60,305.18,0.196608
